"portugal","greece","dragao","lost",0
"greece","spain","bessa","draw",1
"spain","portugal","alvalade","lost",2
"spain","russia","algarve","won",3
"russia","portugal","luz","lost",4
"russia","greece","algarve","won",5
"switzerland","croatia","pessoa","draw",6
"england","switzerland","coimbra","won",7
"croatia","england","luz","lost",8
"france","england","luz","won",9
"croatia","france","pessoa","draw",10
"switzerland","france","coimbra","lost",11
"denmark","italy","afonso","draw",12
"bulgaria","denmark","braga","lost",13
"italy","bulgaria","afonso","won",14
"sweden","bulgaria","alvalade","won",15
"italy","sweden","dragao","draw",16
"denmark","sweden","bessa","draw",17
"germany","netherlands","dragao","draw",18
"latvia","germany","bessa","draw",19
"netherlands","latvia","braga","won",20
"czech","latvia","aveiro","won",21
"netherlands","czech","aveiro","lost",22
"germany","czech","alvalade","lost",23
"portugal","england","luz","won",24
"france","greece","alvalade","lost",25
"sweden","netherlands","algarve","lost",26
"czech","denmark","dragao","won",27
"portugal","netherlands","alvalade","won",28
"greece","czech","dragao","won",29
"greece","portugal","luz","won",30
